balPayments,expDir,expWgt,hsCode,impDir,impWgt,statKor,year
-705145,0,0,0101101000,705145,2853,말(농가 사육용의 것에 한한다) ,2002.01
-46036,0,0,0101901010,46036,1500,경주말 ,2002.01
-396389,0,0,0102101000,396389,3766,젖소 ,2002.01
-72616,0,0,0103100000,72616,7272,번식용,2002.01
-47500,0,0,0103910000,47500,40,중량이 50킬로그램 미만인 것,2002.01
-94075,0,0,0105111000,94075,440,번식용,2002.01
105097,105097,3408,0105119000,0,0,기타,2002.01
-5636,0,0,0106001010,5636,42,개,2002.01
-147666,5712,133,0106110000,153378,2635,영장류,2002.01
-418,0,0,0106120000,418,25,"고래ㆍ돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물) ",2002.01
-289309,0,0,0106191000,289309,3824,개,2002.01
-13,0,0,0106192000,13,3,토끼,2002.01
2224,2224,400,0106193000,0,0,사슴,2002.01
-226436,1390,26,0106199000,227826,2637,기타,2002.01
-2367,0,0,0106201000,2367,85,뱀,2002.01
-101088,0,0,0106202000,101088,17480,자라,2002.01
-6055,0,0,0106209000,6055,150,기타,2002.01
4208,4208,63,0106390000,0,0,기타,2002.01
-471,0,0,0106901000,471,4,양서류,2002.01
-24494,0,0,0106902090,24494,2240,기타 ,2002.01
-24812,14076,557,0106903010,38888,3080,갯지렁이,2002.01
-4341,167,7,0106903090,4508,3,기타,2002.01
-2925,0,0,0106909000,2925,97,기타,2002.01
-207000,0,0,0101101000,207000,8500,말(농가 사육용의 것에 한한다) ,2002.02
-41184,0,0,0102101000,41184,1410,젖소 ,2002.02
-49133,26867,2500,0103100000,76000,3420,번식용,2002.02
-63585,0,0,0104201000,63585,4000,젖염소,2002.02
-123000,0,0,0105111000,123000,2840,번식용,2002.02
56493,56493,1771,0105119000,0,0,기타,2002.02
-1484,4016,96,0106110000,5500,20,영장류,2002.02
-259512,338,45,0106191000,259850,4852,개,2002.02
-174335,1392,30,0106199000,175727,3067,기타,2002.02
-5543,0,0,0106201000,5543,75,뱀,2002.02
-92522,0,0,0106202000,92522,15070,자라,2002.02
-16255,0,0,0106203000,16255,2385,거북,2002.02
-8331,0,0,0106209000,8331,125,기타,2002.02
6391,6391,100,0106390000,0,0,기타,2002.02
-5160,0,0,0106901000,5160,73,양서류,2002.02
-317934,0,0,0106902010,317934,9700,꿀벌 ,2002.02
-30977,0,0,0106902090,30977,2758,기타 ,2002.02
-16248,7617,375,0106903010,23865,1780,갯지렁이,2002.02
-3299,1147,48,0106903090,4446,3,기타,2002.02
-2089,0,0,0106909000,2089,7,기타,2002.02
-79970,0,0,0101101000,79970,4746,말(농가 사육용의 것에 한한다) ,2002.03
-33903,0,0,0101901010,33903,3500,경주말 ,2002.03
-20592,0,0,0102101000,20592,616,젖소 ,2002.03
-359552,0,0,0103100000,359552,39384,번식용,2002.03
-214613,0,0,0105111000,214613,2715,번식용,2002.03
95643,95643,3096,0105119000,0,0,기타,2002.03
-25565,0,0,0105191000,25565,93,오 리,2002.03
-9077,2466,57,0106110000,11543,85,영장류,2002.03
-720731,0,0,0106191000,720731,11044,개,2002.03
-159854,0,0,0106199000,159854,1472,기타,2002.03
-86710,0,0,0106202000,86710,13858,자라,2002.03
-42377,0,0,0106203000,42377,2366,거북,2002.03
-6066,0,0,0106209000,6066,23,기타,2002.03
5435,6235,93,0106390000,800,25,기타,2002.03
-274,0,0,0106901000,274,9,양서류,2002.03
-450546,0,0,0106902010,450546,13556,꿀벌 ,2002.03
-50204,0,0,0106902090,50204,4243,기타 ,2002.03
-1453,14147,652,0106903010,15600,1100,갯지렁이,2002.03
-1903,2528,213,0106903090,4431,3,기타,2002.03
-22444,0,0,0106909000,22444,867,기타,2002.03
-14101,9899,2400,0101101000,24000,1400,말(농가 사육용의 것에 한한다) ,2002.04
-104285,0,0,0101901010,104285,9000,경주말 ,2002.04
-24000,0,0,0101901090,24000,2400,기타 ,2002.04
-41173,0,0,0102101000,41173,771,젖소 ,2002.04
-123719,0,0,0103100000,123719,10755,번식용,2002.04
-338392,0,0,0105111000,338392,4096,번식용,2002.04
105097,105097,3500,0105119000,0,0,기타,2002.04
-49134,1298,31,0106110000,50432,543,영장류,2002.04
-742897,224,32,0106191000,743121,13548,개,2002.04
-166795,21331,190,0106199000,188126,2042,기타,2002.04
-5110,0,0,0106201000,5110,70,뱀,2002.04
-156810,0,0,0106202000,156810,23841,자라,2002.04
-18978,0,0,0106203000,18978,475,거북,2002.04
-23060,0,0,0106209000,23060,135,기타,2002.04
8698,10048,181,0106390000,1350,58,기타,2002.04
20147,20147,410,0106901000,0,0,양서류,2002.04
-27997,0,0,0106902090,27997,2869,기타 ,2002.04
4873,19885,890,0106903010,15012,971,갯지렁이,2002.04
-408,4060,368,0106903090,4468,3,기타,2002.04
-10186,0,0,0106909000,10186,495,기타,2002.04
-961072,0,0,0101901010,961072,42320,경주말 ,2002.05
-68258,0,0,0101901090,68258,1450,기타 ,2002.05
-93495,0,0,0103100000,93495,9076,번식용,2002.05
-115152,0,0,0105111000,115152,1663,번식용,2002.05
-90493,0,0,0105199000,90493,104,기타 ,2002.05
3412,3924,97,0106110000,512,9,영장류,2002.05
-971384,431,45,0106191000,971815,14968,개,2002.05
-242083,1392,35,0106199000,243475,2707,기타,2002.05
-6355,0,0,0106201000,6355,190,뱀,2002.05
-140476,0,0,0106202000,140476,20248,자라,2002.05
-19518,0,0,0106203000,19518,2558,거북,2002.05
-33080,0,0,0106209000,33080,520,기타,2002.05
-12900,0,0,0106320000,12900,5,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],2002.05
6376,7380,191,0106390000,1004,36,기타,2002.05
12224,12695,419,0106901000,471,2,양서류,2002.05
-17584,0,0,0106902090,17584,1715,기타 ,2002.05
-3036,32518,1421,0106903010,35554,2966,갯지렁이,2002.05
-3849,708,64,0106903090,4557,3,기타,2002.05
-8530,0,0,0106909000,8530,260,기타,2002.05
-10337,0,0,0101101000,10337,480,말(농가 사육용의 것에 한한다) ,2002.06
-534871,0,0,0101901010,534871,16340,경주말 ,2002.06
-18901,0,0,0101901090,18901,6300,기타 ,2002.06
-8741,0,0,0101909000,8741,17500,기타 ,2002.06
-95300,0,0,0103100000,95300,6832,번식용,2002.06
-392636,0,0,0105111000,392636,2791,번식용,2002.06
17621,17621,550,0105119000,0,0,기타,2002.06
2732,2732,74,0106110000,0,0,영장류,2002.06
-613531,494,56,0106191000,614025,10350,개,2002.06
-175090,1444,40,0106199000,176534,2413,기타,2002.06
-10648,0,0,0106201000,10648,191,뱀,2002.06
-152947,0,0,0106202000,152947,19907,자라,2002.06
-3267,0,0,0106203000,3267,630,거북,2002.06
-48986,0,0,0106209000,48986,1886,기타,2002.06
-22300,0,0,0106310000,22300,35,맹금류,2002.06
2861,8265,142,0106390000,5404,46,기타,2002.06
1872,3224,200,0106901000,1352,9,양서류,2002.06
-11119,0,0,0106902090,11119,1062,기타 ,2002.06
